titre	url Page d’histoire	sujet	url sujet	agent	url agent	Lieux	url Lieux
Alexandre Sergueievitch Pouchkine	https://francearchives.fr/pages_histoire/39268	littérature	https://francearchives.fr/fr/subject/301150616	Pouchkine, Alexandre (1799-1837 ; poète, dramaturge et romancier russe) 	https://francearchives.fr/fr/agent/301273835	Russie	https://francearchives.fr/fr/location/165943768
Alfred Sisley	https://francearchives.fr/pages_histoire/39714	peinture 	https://francearchives.fr/fr/subject/132028797	Sisley, Alfred (1839-1899 ; peintre, lithographe et graveur anglais)	https://francearchives.fr/fr/agent/18511317	Moret-sur-Loing (Seine-et-Marne, France)	https://francearchives.fr/fr/location/30311695
Apel. les Fenosa	https://francearchives.fr/pages_histoire/39608	sculpture	https://francearchives.fr/fr/subject/130953741	 Fenosa, Apeŀles(1899-1988 ; sculpteur espagnol)	https://francearchives.fr/fr/agent/18604640	Oradour-sur-Glane (Haute-Vienne, France)	https://francearchives.fr/fr/location/130965287
Aristide Cavaillé-Coll 	https://francearchives.fr/pages_histoire/39772	musique	https://francearchives.fr/fr/subject/130949414	Cavaillé-Coll, Aristide (1811-1899 ; facteur d'orgue français)	https://francearchives.fr/fr/agent/18608290		
Armand Salacrou 	https://francearchives.fr/pages_histoire/39940	art dramatique	https://francearchives.fr/fr/subject/18259958	Salacrou, Armand (1899-1989 ; auteur dramatique français)	https://francearchives.fr/fr/agent/18611895		
Benjamin Péret	https://francearchives.fr/pages_histoire/39938	littérature	https://francearchives.fr/fr/subject/301150616	Péret, Benjamin (1899-1959 ; écrivain et poète surréaliste français)	https://francearchives.fr/fr/agent/18696763		
Bertrand François Mahé de La Bourdonnais	https://francearchives.fr/pages_histoire/39972	marine###colonisation	https://francearchives.fr/fr/subject/131242309###https://francearchives.fr/fr/subject/131003147	La Bourdonnais Bertrand François Mahé, comte de (1699-1753 ; officier de marine français)	https://francearchives.fr/fr/agent/18419796	Saint-Malo (Ille-et-Vilaine)	https://francearchives.fr/fr/location/18353137
Camille Jenatzy dépasse les 100 km/h à bord d’une automobile électrique	https://francearchives.fr/pages_histoire/39439	véhicule automobile###sport	https://francearchives.fr/fr/subject/132090488###https://francearchives.fr/fr/subject/132091059				
Charles Dullin 	https://francearchives.fr/pages_histoire/39579	art dramatique	https://francearchives.fr/fr/subject/18259958	Dullin, Charles (1885-1949 ; acteur français)	https://francearchives.fr/fr/agent/84382276		
Création de l’Assistance Publique	https://francearchives.fr/pages_histoire/39977	protection sociale###santé	https://francearchives.fr/fr/subject/167740141### https://francearchives.fr/fr/subject/130776807	Assistance publique-Hôpitaux de Paris 	https://francearchives.fr/fr/agent/70682290	Paris (Paris, France)	https://francearchives.fr/fr/location/217173433
Création de la Régie Autonome des Transports Parisiens (RATP)	https://francearchives.fr/pages_histoire/39298	circulation urbaine###transport en commun	https://francearchives.fr/fr/subject/131445518###https://francearchives.fr/fr/subject/132090497 	Régie autonome des transports parisiens 	https://francearchives.fr/fr/agent/18640090	Paris (Paris, France)	https://francearchives.fr/fr/location/217173433
Le Conseil d'État 	https://francearchives.fr/pages_histoire/39974	institutions###législation### Consulat (1799-1804)	 https://francearchives.fr/fr/subject/131513049###https://francearchives.fr/fr/subject/131513685###https://francearchives.fr/fr/subject/224126559	Conseil d'État 	https://francearchives.fr/fr/agent/18960054		
Le Conseil de l'Europe	https://francearchives.fr/pages_histoire/38759	assemblée européenne###droit communautaire###institutions	ht/ francearchives.fr/fr/subject/18272399###https://francearchives.fr/fr/subject/18285341###https://francearchives.fr/fr/subject/131513049	Conseil de l'Europe	https://francearchives.fr/fr/agent/18959986	Strasbourg (Bas-Rhin)	https://francearchives.fr/fr/location/18334561
Le Sénat	https://francearchives.fr/pages_histoire/39975	institutions###législation###organe délibérant	https://francearchives.fr/fr/subject/131513049###https://francearchives.fr/fr/subject/131513685###https://francearchives.fr/fr/subject/18267766	Sénat	https://francearchives.fr/fr/agent/131450901		
Découverte de la Pierre de Rosette	https://francearchives.fr/pages_histoire/39973	découverte scientifique 	https://francearchives.fr/fr/subject/169254679	Champollion, Jean-François (1790-1832 ; égyptologue français)	https://francearchives.fr/fr/agent/130928642	Égypte	https://francearchives.fr/fr/location/130932837
Edmond Michelet	https://francearchives.fr/pages_histoire/38757	résistance###élu###administration centrale	https://francearchives.fr/fr/subject/130959884###https://francearchives.fr/fr/subject/130672660###https://francearchives.fr/fr/subject/130921480	Edmond Michelet, Edmond (1899-1970 ; homme politique français)	https://francearchives.fr/fr/agent/131003801		
Entrée en vigueur du timbre-poste	https://francearchives.fr/pages_histoire/39976	poste 	https://francearchives.fr/fr/subject/130720367				
Ernest Chausson	https://francearchives.fr/pages_histoire/39770	musique 	https://francearchives.fr/fr/subject/130949414 	Chausson, Ernest (1855-1899, compositeur français)	https://francearchives.fr/fr/agent/130950821		
Étienne Jacques de Montgolfier 	https://francearchives.fr/pages_histoire/39862	invention	https://francearchives.fr/fr/subject/130933374 	Montgolfier, Étienne Jacques de (1745-1799 ; industriel et inventeur français)	https://francearchives.fr/fr/agent/19022979		
Etienne Louis Boullée	https://francearchives.fr/pages_histoire/40039	architecture 	https://francearchives.fr/fr/subject/130953121	Boullée, Etienne-Louis (1728-1799 ; architecte français)	https://francearchives.fr/fr/agent/18765763		
Eugène Carrière	https://francearchives.fr/pages_histoire/39715	peinture	https://francearchives.fr/fr/subject/132028797	Carrière, Eugène (1849-1906 ; peintre français)	https://francearchives.fr/fr/agent/130838996		
Fixation de la longueur définitive du mètre	https://francearchives.fr/pages_histoire/39436	poids-et-mesures	https://francearchives.fr/fr/subject/170958013				
Formation de l’École de Nancy	https://francearchives.fr/pages_histoire/39713	art###vie intellectuelle	https://francearchives.fr/fr/subject/131990462###https://francearchives.fr/fr/subject/222798			Nancy (Meurthe-et-Moselle)	https://francearchives.fr/fr/location/27162385
Françis Ponge	https://francearchives.fr/pages_histoire/39939	poésie	https://francearchives.fr/fr/subject/221204583 	Ponge, Francis (1899-1988 ; écrivain français)	https://francearchives.fr/fr/agent/30353863		
Francis Poulenc	https://francearchives.fr/pages_histoire/39503	musique	https://francearchives.fr/fr/subject/130949414 	Poulenc, Francis (1899-1963 ; compositeur et pianiste français)	https://francearchives.fr/fr/agent/167771419		
Frédéric Chopin	https://francearchives.fr/pages_histoire/40037	musique	https://francearchives.fr/fr/subject/130949414 	Chopin, Frédéric (1810-1849 ; compositeur et pianiste franco-polonais)	https://francearchives.fr/fr/agent/18905667	Pologne	https://francearchives.fr/fr/location/130836272
Georges Auric 	https://francearchives.fr/pages_histoire/39769	musique	https://francearchives.fr/fr/subject/130949414 	Auric, Georges (1899-1983 ; compositeur français)	https://francearchives.fr/fr/agent/256193499		
Gyula Halász, dit Brassaï	https://francearchives.fr/pages_histoire/39774	arts plastiques	https://francearchives.fr/fr/subject/131051621	Brassaï (1899-1984 ; photographe hongrois)	https://francearchives.fr/fr/agent/18780764		
Henri Michaux	https://francearchives.fr/pages_histoire/39538	poésie###peinture 	https: //francearchives.fr/fr/subject/221204583###https://francearchives.fr/fr/subject/132028797 	Michaux, Henri (1899-1984 ; peintre et poète français)	https://francearchives.fr/fr/agent/84382475		
Henry Monnier	https://francearchives.fr/pages_histoire/38679	peinture###littérature###art dramatique 	https://francearchives.fr/fr/subject/132028797###https://francearchives.fr/fr/subject/130950597###https://francearchives.fr/fr/subject/18259958 	Monnier, Henry (1899-1877 ; écrivain, peintre et artiste dramatique français)	https://francearchives.fr/fr/agent/19356696		
Honoré de Balzac	https://francearchives.fr/pages_histoire/39269	littérature 	https://francearchives.fr/fr/subject/301150616	Balzac, Honoré de (1899-1950 ; écrivain français)	https://francearchives.fr/fr/agent/131033283		
Jacques Audiberti	https://francearchives.fr/pages_histoire/38719	littérature	https://francearchives.fr/fr/subject/301150616	Audiberti, Jacques (1899-1965 ; écrivain, poète et dramaturge français)	https://francearchives.fr/fr/agent/18625321		
Jacques Copeau	https://francearchives.fr/pages_histoire/39861	art dramatique 	https://francearchives.fr/fr/subject/18259958 	 Copeau, Jacques (1879-1949)	https://francearchives.fr/fr/agent/18442921		
Jacques Fromental Halévy	https://francearchives.fr/fr/pages_histoire/40038	musique	https://francearchives.fr/fr/subject/130949414 	Halévy, Jacques Fromental Lévy dit (1791-1862 ; compositeur français)	https://francearchives.fr/fr/agent/86128353		
Jean Charles de Borda	https://francearchives.fr/pages_histoire/39863	découverte scientifique###marine###Mouvement des Lumières	https://francearchives.fr/fr/subject/169254679###https://francearchives.fr/fr/subject/162945863###https://francearchives.fr/fr/subject/131726467				
Jean-François Marmontel, Jean-François 	https://francearchives.fr/pages_histoire/38676	littérature### Mouvement des Lumières	https://francearchives.fr/fr/subject/130950597###https://francearchives.fr/fr/subject/131726467	Marmontel, Jean-François (1723-1977 ; encyclopédiste, historien, conteur, romancier, grammairien et poète, dramaturge et philosophe français)	https://francearchives.fr/fr/agent/131513446		
Jean Moulin	https://francearchives.fr/pages_histoire/38758	Résistance	https://francearchives.fr/fr/subject/130959884	Moulin, Jean (1899-1943 ; résistant et haut-fonctionnaire français)	https://francearchives.fr/fr/agent/130965323		
Jean Racine	https://francearchives.fr/pages_histoire/39162	art dramatique	https://francearchives.fr/fr/subject/18259958 	Racine, Jean (1639-1699 ; dramaturge, poète et historiographe français)	https://francearchives.fr/fr/agent/131444673		
Jean Baptiste Siméon Chardin	https://francearchives.fr/pages_histoire/39884	peinture	https://francearchives.fr/fr/subject/132028797 	Chardin, Jean-Baptiste Siméon (1699-1779 ; peintre français)	https://francearchives.fr/fr/agent/30328035		
Johann Wolfgang von Goethe	https://francearchives.fr/pages_histoire/39271	littérature 	https://francearchives.fr/fr/subject/301150616	Goethe, Johann Wolfgang von (1749-1832 ; poète et écrivain allemand)	https://francearchives.fr/fr/agent/168610051	Allemagne	https://francearchives.fr/fr/location/130809317
Louis Guilloux	https://francearchives.fr/pages_histoire/39937	littérature 	https://francearchives.fr/fr/subject/301150616	Guilloux, Louis (1899-1980 ; écrivain français)	https://francearchives.fr/fr/agent/19335979	Saint-Brieuc (Côtes-d’Armor)	https://francearchives.fr/fr/location/167885256
