"
Niveau 1
","
Niveau 2
","
Niveau 3",Bureau SIAF concerné,Reprise incluant page actuelle (si applicable)
Découvrir - Les archives en France,Qui ?,,Tous; Avec lien vers l'annuaire,http://www.archivesdefrance.culture.gouv.fr/archives-publiques/organisation-du-reseau-des-archives-en-france/ 
,Quoi ?,,"Tous-  partie à compléter avec création de contenu sur qu’est ce qu’une archive, à quoi ça sert ?",
,,,,http://www.archivesdefrance.culture.gouv.fr/archives-publiques/historique/
,,,,http://www.archivesdefrance.culture.gouv.fr/archives-publiques/vos-archives/
,Comment ?,Dont cadre juridique,Tous,http://www.archivesdefrance.culture.gouv.fr/archives-publiques/ 
,Pourquoi ?,Action régalienne (VITAM),Tous/SDPA,NA (texte à rédiger en interministériel)
,,Action culturelle (Grand Mémorial),Tous/SDCVA,http://www.archivesdefrance.culture.gouv.fr/ressources/grand-memorial/ 
,,Diffusion de l'information,,http://www.archivesdefrance.culture.gouv.fr/chercher/ 
,,Action internationale,,http://www.archivesdefrance.culture.gouv.fr/action-internationale/ 
Comprendre - Des outils pour l'histoire,Actualités,,Aussi en page d'accueil,http://www.archivesdefrance.culture.gouv.fr/actus/ 
,Commémorer,,SDCVA/MCN,http://www.archivesdefrance.culture.gouv.fr/action-culturelle/celebrations-nationales/ 
,Explorer,Liste des publications du réseau,SDCVA,http://www.archivesdefrance.culture.gouv.fr/gerer/publications/ 
,,Liste des expositions virtuelles,SDCVA,Inclut l'actuelle liste des expos virtuelles (CSV)
,,Fiches de recherche,SDCVA,http://www.archivesdefrance.culture.gouv.fr/chercher/organiser/fiches/ 
,,Dossiers pédagogiques et dossiers thématiques,SDCVA,http://www.archivesdefrance.culture.gouv.fr/ressources/en-ligne/acces-par-type-de-documents/
,,Liste des documents d'archives disponibles en ligne,,http://www.archivesdefrance.culture.gouv.fr/ressources/en-ligne/ 
,Mes ancêtres,Généalogie,,http://www.archivesdefrance.culture.gouv.fr/chercher/genealogie/ 
,,Grand mémorial,,http://www.archivesdefrance.culture.gouv.fr/ressources/grand-memorial/ 
,,Liste des Départements proposant l'Etat civil en ligne,,http://www.archivesdefrance.culture.gouv.fr/ressources/en-ligne/etat-civil/ 
,Rechercher,,SDCVA,Contenu à créer sur le moteur de recherche [SIAF] 
